CLOORR,0,0,0,0,0,0,1,1
AABEGMS,0,0,0,0,0,0,1,1
CLOORW,0,0,0,0,0,0,1,1
AABEGMR,0,0,0,0,0,0,1,1
CLOORU,0,0,0,0,0,1,3,4
BELOSWZ,0,0,0,0,0,0,1,1
AEENRUV,0,0,0,0,0,0,1,1
DGNOPP,0,0,0,0,0,0,1,1
DGNOPR,0,0,0,0,0,0,1,1
DGNOPS,0,0,0,0,0,0,3,3
IOQX,0,0,0,0,0,0,2,2
IOQT,0,0,0,0,1,1,8,10
IOQS,0,0,0,0,0,4,7,11
IOQU,0,0,0,0,4,7,26,37
ADNVV,0,0,0,0,0,0,2,2
IOQR,0,0,0,0,0,1,5,6
DDRUU,0,0,0,0,0,1,1,2
ADNVY,0,0,0,0,0,0,1,1
ADNVW,0,0,0,0,0,0,1,1
DDRUY,0,0,0,0,1,1,3,5
AELNNPU,0,0,0,0,0,0,1,1
HIOOSSW,0,0,0,0,0,0,1,1
HIOOSSV,0,0,0,0,0,0,1,1
AELNNPR,0,0,0,0,0,0,1,1
AELNNPS,0,0,0,0,0,0,1,1
IORZ,0,0,0,1,4,12,42,59
IORY,0,0,0,0,3,11,61,75
IORX,0,0,0,0,1,8,16,25
IORW,0,0,0,0,1,13,79,93
IORV,0,0,0,1,6,26,91,124
EEHLQSS,0,0,0,0,0,0,1,1
IORU,0,0,0,0,4,32,134,170
IORT,0,0,0,1,11,73,287,372
IORS,0,0,0,1,13,98,401,513
DDRTU,0,0,0,0,0,0,3,3
IORR,0,0,0,0,7,31,109,147
DDRTT,0,0,0,0,0,0,1,1
ADNWW,0,0,0,0,0,0,1,1
ADNWX,0,0,0,0,0,0,1,1
DDRTY,0,0,0,0,0,0,1,1
ADNWY,0,0,0,0,0,1,7,8
ADNWZ,0,0,0,0,0,1,2,3
DGNORV,0,0,0,0,0,0,1,1
DGNORW,0,0,0,0,0,0,2,2
BOOPSTY,0,0,0,0,0,0,1,1
BOOPSTX,0,0,0,0,0,0,1,1
DGNORY,0,0,0,0,0,0,1,1
BOOPSTW,0,0,0,0,0,0,1,1
IOOY,0,0,0,0,0,3,17,20
IOOZ,0,0,0,0,1,9,25,35
ACGMNOP,0,0,0,0,0,0,1,1
DGNORR,0,0,0,0,0,0,1,1
DGNORS,0,0,0,0,0,0,4,4
AGIMWW,0,0,0,0,0,1,1,2
DGNORT,0,0,0,0,0,0,1,1
DGNORU,0,0,0,0,0,1,5,6
IOOR,0,0,0,0,3,31,141,175
AGGHINN,0,0,0,0,0,0,1,1
IOOQ,0,0,0,0,0,0,1,1
IOOT,0,0,0,0,4,30,112,146
IOOS,0,0,0,0,1,33,201,235
IOOV,0,0,0,0,2,7,19,28
AGGHINS,0,0,0,0,0,0,1,1
IOOU,0,0,0,0,0,3,15,18
DDRSY,0,0,0,0,0,1,4,5
IOOX,0,0,0,0,0,2,5,7
IOOW,0,0,0,0,0,4,24,28
DDRSU,0,0,0,0,1,2,16,19
DDRSW,0,0,0,0,0,0,6,6
IOOP,0,0,0,0,3,14,59,76
DDRST,0,0,0,0,0,0,5,5
DDRSS,0,0,0,0,0,0,5,5
IOOO,0,0,0,0,0,0,8,8
DGNOSZ,0,0,0,0,0,0,1,1
DGNOSW,0,0,0,0,0,0,2,2
IOPZ,0,0,0,0,2,4,10,16
EQSSSU,0,0,0,0,0,0,1,1
DGNOSU,0,0,0,0,0,1,4,5
DGNOSS,0,0,0,0,0,0,3,3
DGNOST,0,0,0,0,0,0,1,1
IOPU,0,0,0,0,4,17,57,78
IOPT,0,0,0,1,9,55,164,229
IOPS,0,0,0,1,10,65,239,315
AGGHIMN,0,0,0,0,0,0,1,1
IOPR,0,0,0,0,5,44,177,226
IOPY,0,0,0,1,4,19,56,80
IOPX,0,0,0,0,1,4,17,22
IOPW,0,0,0,0,2,7,19,28
DDRRY,0,0,0,0,0,0,1,1
IOPV,0,0,0,0,1,3,18,22
DDRRU,0,0,0,0,0,1,4,5
DDRRS,0,0,0,0,0,0,3,3
IOPQ,0,0,0,0,1,1,1,3
BDEFOOR,0,0,0,0,0,0,1,1
IOPP,0,0,0,0,4,17,50,71
DEIKLTT,0,0,0,0,0,0,1,1
ADNYY,0,0,0,0,0,0,2,2
BGMTU,0,0,0,0,0,0,1,1
AELNNST,0,0,0,0,0,0,1,1
AABEGRR,0,0,0,0,0,0,1,1
EQSSTU,0,0,0,0,0,1,1,2
BELOSSW,0,0,0,0,0,0,1,1
ADNRY,0,0,0,0,1,3,27,31
ADNRZ,0,0,0,0,0,1,2,3
ADNRW,0,0,0,0,1,4,20,25
ADNRX,0,0,0,0,0,0,1,1
ADNRR,0,0,0,0,0,1,18,19
DEIKLST,0,0,0,0,0,0,1,1
ADNRV,0,0,0,0,0,0,8,8
BFIMOYZ,0,0,0,0,0,0,1,1
ADNRU,0,0,0,0,0,10,47,57
ADNRT,0,0,0,0,1,5,37,43
BELOSSU,0,0,0,0,0,0,1,1
ADNRS,0,0,0,0,1,8,61,70
AEENRRY,0,0,0,0,0,0,1,1
BGMSY,0,0,0,0,0,0,2,2
EQSSUU,0,0,0,0,0,1,0,1
BGMSU,0,0,0,0,0,3,5,8
AABEGSS,0,0,0,0,0,0,1,1
AELNNTU,0,0,0,0,0,0,1,1
AEENRRV,0,0,0,0,0,0,1,1
AABEGST,0,0,0,0,0,0,1,1
BGMSS,0,0,0,0,0,0,1,1
AABEGSU,0,0,0,0,0,0,1,1
BGMST,0,0,0,0,0,0,2,2
ADNSX,0,0,0,0,0,0,4,4
ADNSY,0,0,0,0,1,5,19,25
